ids,upload_date,duration,comment_count,view_count,sentiment,uploader,tags,kodur.png,kalayan_durg.png,sambasivarao.png,tekkali.png
Btd0hg3ceFU,2022-10-01,14115.0,3.0,29026.0,-0.9744812250137328,TV5,ntr health university ,0,0,0,0
eioi04Ww37Y,2022-09-21,402.0,11.0,7602.0,-0.997739315032959,TV5,ntr health university ,0,0,0,0
ItDg6apIA-o,2022-12-05,387.0,0.0,817.0,0.991558313369751,TV5,ntr health university ,0,1,0,0
YeMKomCvQn4,2022-09-26,220.0,44.0,15168.0,-0.9889799356460572,Sakshi,ntr health university ,0,0,0,0
uQ4U306fLDQ,2022-11-21,141.0,1.0,980.0,-0.996269941329956,ABN,ntr health university ,0,0,0,0
PknzqcyZcNI,2022-09-22,230.0,59.0,6865.0,0.983352780342102,TV5,ntr health university ,0,0,0,1
VXS85J8WkXc,2022-09-24,190.0,6.0,3055.0,-0.9920281767845154,TV5,ntr health university ,0,1,0,0
wjw7PJmvibQ,2022-09-21,125.0,5.0,1322.0,-0.9956596493721008,TV5,ntr health university ,0,0,0,0
3DKsBySHx7I,2022-09-22,255.0,3.0,2341.0,-0.9873766899108888,TV5,ntr health university ,0,0,0,0
5U74pI3l82c,2022-09-21,35258.0,4.0,39217.0,-0.9906354546546936,TV5,ntr health university ,0,0,0,0
CG-Gcv4SvNQ,2022-09-22,140.0,12.0,5620.0,-0.9987775683403016,TV5,ntr health university ,0,0,0,0
JqkBBaHrfpg,2022-09-21,325.0,23.0,15475.0,-0.9982929825782776,TV5,ntr health university ,0,0,0,1
zOSqztLDXQI,2022-09-22,135.0,9.0,4330.0,-0.9961887001991272,TV5,ntr health university ,0,0,0,0
ZrEoB9Lsdjs,2022-09-22,75.0,0.0,2086.0,0.9928349256515504,TV5,ntr health university ,0,1,0,0
VvHXc-1O9CQ,2022-09-22,530.0,8.0,4944.0,-0.999336302280426,TV5,ntr health university ,0,0,0,0
xihJWlCyeKU,2022-09-21,10865.0,14.0,62181.0,-0.989816188812256,TV5,ntr health university ,0,0,0,0
WaOofG-fZxA,2022-12-21,456.0,0.0,3586.0,-0.999357521533966,ABN,ntr health university ,0,0,0,0
XIkdOw1mYCY,2022-10-03,96.0,2.0,2948.0,-0.9980865716934204,TV5,ntr health university ,0,0,0,0
PAonOBOj8vE,2022-09-21,130.0,35.0,7469.0,-0.9969671368598938,TV5,ntr health university ,0,0,0,0
